CustomerID,FirstName,LastName,DOB,Province,MonthlyIncome,EmploymentStatus,CreditScore
CUST000001,Danielle,Johnson,1968-10-07,Gauteng,24213.79,Employed,389.0
CUST000002,Jeffrey,Doyle,1988-01-18,Gauteng,23229.2,Self-Employed,729.0
CUST000003,Patricia,Miller,10-27-1975,Gauteng,17352.57,Unemployed,459.0
CUST000004,Anthony,Robinson,10-28-1979,Western Cape,12285.67,Unemployed,344.0
CUST000005,Anthony,Gonzalez,1986-10-05,Mpumalanga,28100.85,Unemployed,496.0
CUST000006,Amy,Robinson,1983-11-08,Eastern Cape,83810.33,Employed,689.0
CUST000007,Lisa,Smith,03-31-1994,KwaZulu-Natal,21365.32,Employed,475.0
CUST000008,Helen,Peterson,11/01/1963,KwaZulu-Natal,26230.8,Self-Employed,632.0
CUST000009,Susan,Rogers,1960-01-08,Eastern Cape,69306.19,Employed,516.0
CUST000010,Colin,Abbott,07-18-1984,Eastern Cape,36348.37,Retired,446.0
CUST000011,Lindsay,Blair,22/04/1981,Northern Cape,64634.61,Retired,670.0
CUST000012,Teresa,Gray,24/01/1982,Northern Cape,65340.46,Self-Employed,463.0
CUST000013,Maria,Montgomery,05 Dec 1996,Western Cape,52469.02,Unemployed,311.0
CUST000014,Barbara,Bush,1957-10-07,Northern Cape,66372.2,Unemployed,745.0
CUST000015,Jeremy,Roberts,1959-05-25,Free State,65837.96,Employed,605.0
CUST000016,Jesse,Garcia,28/11/1968,KwaZulu-Natal,17504.7,Employed,631.0
CUST000017,Cynthia,Diaz,1973-05-03,Limpopo,71449.08,Employed,546.0
CUST000018,Jason,Adams,2000-07-11,Western Cape,70189.87,Self-Employed,431.0
CUST000019,Deborah,Lynch,13/10/1963,Free State,53330.81,Self-Employed,619.0
CUST000020,Jessica,Martin,10-12-1973,North West,40844.63,Employed,
CUST000021,Veronica,Bowman,20/04/1982,,61481.2,Employed,332.0
CUST000022,Gabrielle,Cameron,1992-10-24,Northern Cape,58352.71,Self-Employed,784.0
CUST000023,Jeremy,Johnson,16 Sep 1970,Mpumalanga,12302.93,Retired,720.0
CUST000024,Joseph,Clark,2000-10-29,Western Cape,63121.19,Employed,554.0
CUST000025,Nancy,Edwards,11 Jan 1987,KwaZulu-Natal,26922.88,Employed,753.0
CUST000026,Randall,Rocha,1977-08-04,Gauteng,,Employed,542.0
CUST000027,Joseph,Wright,06 Jul 1982,North West,36783.74,Retired,302.0
CUST000028,Jose,Richards,08-30-1998,North West,60575.62,Retired,458.0
CUST000029,Reginald,Robinson,13/06/2003,Gauteng,48146.71,Employed,351.0
CUST000030,William,Davis,30/10/1957,Gauteng,10948.97,Employed,540.0
CUST000031,Daniel,Burton,02/08/1993,Gauteng,38247.61,Unemployed,567.0
CUST000032,Robert,Brown,11-19-1973,Eastern Cape,15035.7,Retired,623.0
CUST000033,Wendy,Rice,2002-03-06,Gauteng,84875.58,Employed,850.0
CUST000034,Michelle,Smith,02-28-1990,KwaZulu-Natal,75409.57,Unemployed,591.0
CUST000035,Erin,Herrera,05-16-1968,,70276.88,Employed,437.0
CUST000036,Danielle,Rodriguez,1976-06-08,Northern Cape,27181.38,Unemployed,508.0
CUST000037,Shawn,Mckay,08-10-1997,Northern Cape,77379.59,Employed,733.0
CUST000038,Jose,Mason,1964-02-22,Gauteng,15030.98,Self-Employed,752.0
CUST000039,Rita,Harrell,22 Nov 1969,,10557.13,Self-Employed,336.0
CUST000040,Danielle,Lynch,26/11/1962,Mpumalanga,29314.8,Employed,666.0
CUST000041,Kathryn,Ryan,09/12/1992,Western Cape,49570.62,Self-Employed,542.0
CUST000042,Alyssa,Smith,16/02/1971,,63793.44,Retired,554.0
CUST000043,Andrew,Hickman,1997-09-29,Mpumalanga,73616.76,Retired,658.0
CUST000044,Marie,Parker,07/05/1958,,20046.95,Employed,585.0
CUST000045,Natalie,Arroyo,05 Sep 1959,Northern Cape,6721.84,Unemployed,482.0
CUST000046,Todd,Jones,01-28-1992,Gauteng,39482.38,Unemployed,746.0
CUST000047,Katie,Anderson,1978-05-19,Mpumalanga,19801.34,Retired,301.0
CUST000048,Andrea,Baker,11/06/1997,Limpopo,80884.4,Unemployed,427.0
CUST000049,Rodney,Lewis,06-14-1981,Northern Cape,37375.63,Unemployed,430.0
CUST000050,Jessica,Harris,13 Jul 1970,KwaZulu-Natal,28726.46,Employed,611.0
CUST000051,Wanda,Santos,05 Aug 1976,Limpopo,40093.86,Retired,473.0
CUST000052,Zachary,Martinez,05-09-1966,Northern Cape,54350.49,Self-Employed,617.0
CUST000053,Matthew,Chapman,12/08/1966,,24209.82,Employed,766.0
CUST000054,Jeffrey,Jones,10/11/1985,Mpumalanga,24140.75,Employed,409.0
CUST000055,Jeremy,Whitehead,30/10/1996,KwaZulu-Natal,60520.9,Self-Employed,424.0
CUST000056,Chad,Young,05 Sep 1987,Northern Cape,52433.91,Retired,816.0
CUST000057,Jason,Anderson,21 Jun 2000,KwaZulu-Natal,42711.29,Self-Employed,583.0
CUST000058,Ashley,Kennedy,24 Mar 1993,Eastern Cape,10737.41,Unemployed,643.0
CUST000059,Lindsey,Lee,1960-03-21,KwaZulu-Natal,35334.34,Self-Employed,365.0
CUST000060,Ryan,Henderson,12-25-1977,Northern Cape,9512.39,Retired,320.0
CUST000061,Jessica,Nunez,22 Oct 2002,,32816.58,Retired,525.0
CUST000062,Corey,Powell,11-08-1971,Mpumalanga,35803.0,Retired,469.0
CUST000063,Michelle,Wright,11/09/1964,,36218.63,Employed,385.0
CUST000064,Shane,Henderson,08/12/1968,North West,25442.58,Retired,634.0
CUST000065,John,Leblanc,01 Nov 1976,Free State,71469.9,Employed,
CUST000066,Michelle,Pierce,1957-12-29,Limpopo,10023.78,Employed,331.0
CUST000067,Yvette,Huff,29/01/2002,Gauteng,23702.87,Employed,523.0
CUST000068,Sara,Allison,07-20-1963,Limpopo,53383.42,Employed,467.0
CUST000069,Todd,Lewis,1974-10-26,Gauteng,50851.64,Retired,706.0
CUST000070,Brian,Gray,11/11/2002,Western Cape,71361.02,Unemployed,423.0
CUST000071,Joseph,Bowers,1977-05-29,Limpopo,57752.47,Unemployed,312.0
CUST000072,Rodney,Bernard,07 May 2003,Western Cape,33656.14,Retired,456.0
CUST000073,Angela,Higgins,12-30-1962,Northern Cape,41922.34,Unemployed,630.0
CUST000074,Kenneth,Novak,1983-05-15,Free State,24131.01,Retired,
